BroadcastDTtm,Buy_Sell,Company_Name,FLD_MODE,Flag,Fld_AcqSoldDateFrom,Fld_AcqSoldDateTo,Insider_name,Modified_date,Perc_After,Perc_of_Buysell,Quantity,Quantity_after,scrip_code,transaction_date
2015-05-08T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-05T00:00:00,2015-05-05T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,400,5152,500325.0,05/05/2015
2015-05-08T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-05T00:00:00,2015-05-05T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,600,5552,500325.0,05/05/2015
2015-05-08T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-05-04T00:00:00,2015-05-04T00:00:00,Kaustubh Gajanan Kapse,08 Jun 2015,,,3978,3716,500325.0,04/05/2015
2015-05-08T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-26T00:00:00,2015-04-26T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,100,6152,500325.0,26/04/2015
2015-05-08T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-14T00:00:00,2015-04-14T00:00:00,Naresh Kumar Narang,08 Jun 2015,,,750,1100,500325.0,14/04/2015
2015-05-07T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-05T00:00:00,2015-05-05T00:00:00,Biju George Ninan,08 Jun 2015,,,7000,7400,500325.0,05/05/2015
2015-05-07T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-05T00:00:00,2015-05-05T00:00:00,Naresh Kumar Narang,08 Jun 2015,,,250,850,500325.0,05/05/2015
2015-05-07T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-05T00:00:00,2015-05-05T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,400,5152,500325.0,05/05/2015
2015-05-07T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-05T00:00:00,2015-05-05T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,600,5552,500325.0,05/05/2015
2015-05-07T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-26T00:00:00,2015-04-26T00:00:00,Shanmukhan Choyi Puthenveettil,08 Jun 2015,,,100,6152,500325.0,26/04/2015
2015-05-07T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Naresh Kumar Narang,08 Jun 2015,,,750,1100,500325.0,14/04/2015
2015-05-06T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-05-04T00:00:00,2015-05-04T00:00:00,Kaustubh Gajanan Kapse,08 Jun 2015,,,3978,3716,500325.0,04/05/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Annathorai Venkatraman,08 Jun 2015,,,9000,11000,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Annathorai Venkatraman,08 Jun 2015,,,9000,11000,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Ebanazer James Ambaichelvan,08 Jun 2015,,,4300,8310,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Ebanazer James Ambaichelvan,08 Jun 2015,,,4300,8310,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Shyam Sunder Sarangapani,08 Jun 2015,,,1450,3740,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Shyam Sunder Sarangapani,08 Jun 2015,,,1450,3740,500325.0,28/04/2015
2015-04-30T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Sunil Misra,08 Jun 2015,,,1400,4400,500325.0,28/04/2015
2015-04-30T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-27T00:00:00,2015-04-27T00:00:00,Supriyo Sen,08 Jun 2015,,,3000,6570,500325.0,27/04/2015
2015-04-30T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-09T00:00:00,2015-04-09T00:00:00,Sunil Misra,08 Jun 2015,,,300,3000,500325.0,09/04/2015
