BV,Bodies_Corporate,Cash_EPS,Change,DII,EPS,Equity,FACE_VALUE,FII,Foreign,INDIAN,Institution,LTP,NPM,Name,NonIns,OPM,PAT,PB,PE,PnPGrp,Public,RONW,ResQtr,Results_QuarterName,Revenue,SHP_QuarterName,scrip_cd,w52hi,w52hidt,w52lo,w52lodt,BV,Bodies_Corporate,Cash_EPS,Change,DII,EPS,Equity,FACE_VALUE,FII,Foreign,INDIAN,Institution,LTP,NPM,Name,NonIns,OPM,PAT,PB,PE,PnPGrp,Public,RONW,ResQtr,Results_QuarterName,Revenue,SHP_QuarterName,scrip_cd,w52hi,w52hidt,w52lo,w52lodt,BN1,BN2,BN3,BN4,BN5,DP1,DP2,DP3,DP4,DP5,yeardate
0,0,64.09,1.66,2355181559,48.75,6339,10,0,0,3098084968,2355181559,1471,3.35,RELIANCE,734636787,8.94,2580,0,30.17,3098084968,3089818346,40.7,105,Mar - 20,76999,Mar - 20,500325,1603.24,2019-12-20T00:00:00,867.82,2020-03-23T00:00:00,669.8,0,64.1,1.71,2355181559,48.75,6339,10,0,0,3098084968,2355181559,1471.75,8.81,RELIANCE,734636787,14.26,30903,1.54,,3098084968,3089818346,7.28,105.5,Mar - 20,350880,Mar - 20,500325,1603.24,2019-12-20T00:00:00,867.82,2020-03-23T00:00:00,,,,,,,,,,,2020
0,0,19.96,-0.66,116078774,15.46,137.68,2,0,0,419183540,116078774,232.75,7.66,GUJGAS,153127811,13.36,196.54,0,15.05,419183540,269206585,142.75,104,Dec - 19,2564.25,Mar - 20,539336,313.45,2020-02-07T00:00:00,154.4,2019-07-29T00:00:00,31.73,0,10.24,-0.55,116078774,6.06,137.68,2,0,0,419183540,116078774,233,5.24,GUJGAS,153127811,11.08,417.03,4.67,,419183540,269206585,19.09,101.5,Mar - 19,7962.48,Mar - 20,539336,313.45,2020-02-07T00:00:00,154.4,2019-07-29T00:00:00,,,,,,6.5,,,,,2019
0,0,4.43,0.87,227572435,3.97,109.98,1,0,411331740,411332336,227572435,115.85,24.9,ADANIGAS,49573572,34.6,122.07,0,29.18,822664076,277146007,110.99,105,Mar - 20,490.32,Mar - 20,542066,194.55,2020-02-20T00:00:00,76.7,2020-03-25T00:00:00,13.46,0,4.43,0.78,227572435,3.97,109.98,1,0,411331740,411332336,227572435,115.75,21.91,ADANIGAS,49573572,30.04,436.24,6.21,,822664076,277146007,29.47,105.5,Mar - 20,1990.9,Mar - 20,542066,194.55,2020-02-20T00:00:00,76.7,2020-03-25T00:00:00,,,,,,6,,,,,2018
0,0,31.05,3.63,1873687,22.56,32,10,0,0,20476847,1873687,65.7,21.48,DEEPIND,9649466,40.39,12.03,0,2.91,20476847,11523153,37.6,104,Dec - 19,56.01,Mar - 20,532760,176,2019-06-03T00:00:00,42.75,2020-03-24T00:00:00,159.31,0,29.24,1.83,1873687,18.64,32,10,0,0,20476847,1873687,66.9,23.02,DEEPIND,9649466,48.43,59.64,0.87,,20476847,11523153,11.7,101.5,Mar - 19,259.12,Mar - 20,532760,176,2019-06-03T00:00:00,42.75,2020-03-24T00:00:00,Bonus issue 1:1,,,,,11,,,,,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,2016
