BV,Bodies_Corporate,Cash_EPS,Change,DII,EPS,Equity,FACE_VALUE,FII,Foreign,INDIAN,Institution,LTP,NPM,Name,NonIns,OPM,PAT,PB,PE,PnPGrp,Public,RONW,ResQtr,Results_QuarterName,Revenue,SHP_QuarterName,scrip_cd,w52hi,w52hidt,w52lo,w52lodt
669.8,0.0,64.1,1.71,2355181559.0,48.75,6339.0,10.0,0.0,0.0,3098084968.0,2355181559.0,1471.75,8.81,RELIANCE,734636787.0,14.26,30903.0,1.54,,3098084968.0,3089818346.0,7.28,105.5,Mar - 20,350880.0,Mar - 20,500325.0,1603.24,2019-12-20T00:00:00,867.82,2020-03-23T00:00:00
31.73,0.0,10.24,-0.55,116078774.0,6.06,137.68,2.0,0.0,0.0,419183540.0,116078774.0,233.0,5.24,GUJGAS,153127811.0,11.08,417.03,4.67,,419183540.0,269206585.0,19.09,101.5,Mar - 19,7962.48,Mar - 20,539336.0,313.45,2020-02-07T00:00:00,154.4,2019-07-29T00:00:00
13.46,0.0,4.43,0.78,227572435.0,3.97,109.98,1.0,0.0,411331740.0,411332336.0,227572435.0,115.75,21.91,ADANIGAS,49573572.0,30.04,436.24,6.21,,822664076.0,277146007.0,29.47,105.5,Mar - 20,1990.9,Mar - 20,542066.0,194.55,2020-02-20T00:00:00,76.7,2020-03-25T00:00:00
159.31,0.0,29.24,1.83,1873687.0,18.64,32.0,10.0,0.0,0.0,20476847.0,1873687.0,66.9,23.02,DEEPIND,9649466.0,48.43,59.64,0.87,,20476847.0,11523153.0,11.7,101.5,Mar - 19,259.12,Mar - 20,532760.0,176.0,2019-06-03T00:00:00,42.75,2020-03-24T00:00:00
